                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        2.9965638597
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        2.9809919186
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        2.9350220978
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        2.8607338765
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        2.7613683934
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        2.6409475255
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        2.5039275400
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        2.3548208757
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        2.1979445324
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        2.0372206988
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        1.8760478604
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000        0.0000000000
