                                                    wave       xi      mxi                   q                 mat
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.0000000000        0.9991253374
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.1000000000        0.9922972144
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.2000000000        0.9722806348
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.3000000000        0.9402959369
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.4000000000        0.8982008259
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.5000000000        0.8482105067
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.6000000000        0.7926511967
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.7000000000        0.7337307861
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.8000000000        0.6734114009
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        0.9000000000        0.6133275743
                 av18-empot-no3nf-E=search-cdep-j12max=6        0        0        1.0000000000        0.5547542120
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.0000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.1000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.2000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.3000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.4000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.5000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.6000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.7000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.8000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        0.9000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        1        0        1.0000000000       -0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.0000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.1000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.2000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.3000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.4000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.5000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.6000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.7000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.8000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        0.9000000000        0.0000000000
                 av18-empot-no3nf-E=search-cdep-j12max=6        2        0        1.0000000000        0.0000000000
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.0000000000        0.9992053173
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.1000000000        0.9931708815
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.2000000000        0.9754257675
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.3000000000        0.9469066045
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.4000000000        0.9090642649
         av18-empot-urbanaIXp16n5-E=search-cdep-j12max=6        0        0        0.5000000000        0.8636661685
